Code,Date,Fy,Indicator,Units,Values,BasinOrZone,Supplier,WatercourseOrGeographicArea,Region,Environment,SubBasinOrSubZone,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Notes,Wqo,Lor,Sf,Failure,Stat
SFC-T1,2025-04-29T00:00:01Z,2025,High_DO,%.Sat,62,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,100,0.5,120,high,median
SFC-T1,2025-04-29T00:00:01Z,2025,Low_DO,%.Sat,62,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,85,0.5,70,low,median
SFC-T1,2025-04-29T00:00:01Z,2025,TP,mg.L,0.12,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.025,0.02,0.46,high,median
SFC-T1,2025-04-29T00:00:01Z,2025,Turbidity,NTU,22.1,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,8,0.5,35,high,median
SFC-T1,2025-05-19T00:00:01Z,2025,DIN,mg.L,1.39,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.02,0.005,0.38,high,median
SFC-T1,2025-05-19T00:00:01Z,2025,FRP,mg.L,0.34,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.08,0.005,NA,high,median
SFC-T1,2025-05-19T00:00:01Z,2025,TP,mg.L,0.47,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.025,0.02,0.46,high,median
SFC-T1,2025-06-24T00:00:01Z,2025,DIN,mg.L,0.067,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.02,0.005,0.38,high,median
SFC-T1,2025-06-24T00:00:01Z,2025,FRP,mg.L,0.11,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.08,0.005,NA,high,median
SFC-T1,2025-06-24T00:00:01Z,2025,High_DO,%.Sat,90.7,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,100,0.5,120,high,median
SFC-T1,2025-06-24T00:00:01Z,2025,Low_DO,%.Sat,90.7,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,85,0.5,70,low,median
SFC-T1,2025-06-24T00:00:01Z,2025,TP,mg.L,0.21,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,0.025,0.02,0.46,high,median
SFC-T1,2025-06-24T00:00:01Z,2025,Turbidity,NTU,35,Ross,Jet Zero,Stuart Outside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3104948044,146.865952292,NA,8,0.5,35,high,median
SFC-T2,2024-10-15T00:00:01Z,2025,DIN,mg.L,0.31,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
SFC-T2,2024-10-15T00:00:01Z,2025,FRP,mg.L,0.12,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2024-10-15T00:00:01Z,2025,TP,mg.L,0.39,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.025,0.02,0.46,high,median
SFC-T2,2024-11-12T00:00:01Z,2025,DIN,mg.L,0.337,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
